# prefab<TAB>comma-separated MonoBehaviour classes found anywhere in the prefab (generated from game assets)
AbandonedLogCabin02	Chair,Container,CreatureSpawner,Door,Location,MusicLocation,Piece,RandomSpawn,TerrainModifier,WearNTear,ZNetView
KnifeSilver	ItemDrop,LightLod,MeleeWeaponTrail,ParticleIntensityScaler,ZNetView,ZSyncTransform
KnifeSkollAndHati	Demister,ItemDrop,LightLod,ParticleIntensityScaler,ZNetView,ZSyncTransform
KnifeVoid	ItemDrop,LightLod,MeleeWeaponTrail,ParticleIntensityScaler,ZNetView,ZSyncTransform
KnifeWood	ItemDrop,LightLod,MeleeWeaponTrail,ParticleIntensityScaler,ZNetView,ZSyncTransform
Lantern	ItemDrop,LightFlicker,LightLod,ZNetView,ZSyncTransform
Lantern_DN	ItemDrop,LightFlicker,LightLod,ZNetView,ZSyncTransform
Lantern_hooded	ItemDrop,LightFlicker,LightLod,ZNetView,ZSyncTransform
LargeBone	Destructible,DropOnDestroyed,EggHatch,HoverText,StaticPhysics,ZNetView
LargeBone_half01	Destructible,DropOnDestroyed,EggHatch,HoverText,StaticPhysics,ZNetView
LargeBone_half02	Destructible,DropOnDestroyed,EggHatch,HoverText,StaticPhysics,ZNetView
Larva	ItemDrop,ZNetView,ZSyncTransform
LastBossGate	LodFadeInOut
LastBossGate_Chain	LodFadeInOut,ObjectFlicker
LastBossGate_Chain2	LodFadeInOut,ObjectFlicker
LastBossGate_Floorstone	LodFadeInOut
LastBossGate_InternalGate	ObjectFlicker
LastBossGate_Pillar	LodFadeInOut
LastBossGate_Pillarbase	LodFadeInOut
LastBossGate_Rotator	ObjectFlicker
LastBossGate_RuneTile	ItemDrop,ZNetView,ZSyncTransform
LavaRock	SpawnAbility,TimedDestruction,ZNetView,ZSyncTransform
LeatherScraps	ItemDrop,ZNetView,ZSyncTransform
Leatherstraps	ItemDrop,ZNetView,ZSyncTransform
Leech	CharacterAnimEvent,CharacterDrop,Humanoid,LevelEffects,MonsterAI,Tail,ZNetView,ZSyncAnimation,ZSyncTransform
Leech_BiteAttack	ItemDrop
Leech_cave	CharacterAnimEvent,CharacterDrop,Humanoid,LevelEffects,MonsterAI,Tail,ZNetView,ZSyncAnimation,ZSyncTransform
LevelTerrain	TerrainModifier
Leviathan	HoverText,Leviathan,LodFadeInOut,MineRock,ZNetView,ZSyncAnimation,ZSyncTransform
LeviathanLava	Leviathan,LodFadeInOut,MineRock,StaticPhysics,ZNetView,ZSyncAnimation,ZSyncTransform
LinenThread	ItemDrop,ZNetView,ZSyncTransform
Lingonberry	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
LingonberryBush	Destructible,DropOnDestroyed,Pickable,StaticPhysics,ZNetView
Lingondricka	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
LoadingGUI	AchievementDetailUnlockCondition,AchievementsGui,BuildUi,BuildUiFavoritesDropdown,BuildUiTagButton,CaptionItem,Chat,CinematicsHider,ClosedCaptions,ConnectPanel,DamageText,EnemyHud,FrameBufferScaler,HotkeyBar,Hud,InventoryGrid,InventoryGui,JoinCode,KeyHints,KeyHintsRadial,LoadingIndicator,LongPressIndicator,Menu,MessageHud,Minimap,PlatformEnable,PlayerCustomizaton,RadialOverlapPreventer,ScrollRectEnsureVisible,SetActiveOnAwake,SkillsDialog,SleepText,SplitDialog,StoreGui,TabHandler,TextInput,TextViewer,TextsDialog,ToggleImage,TouchRaycastPadding,Tutorial,UIGamePad,UnifiedPopup,VariantDialog,WaterMark
LoadingGUI_Connecting	
LoadingGUI_Password	
LoadingIndicator	LoadingIndicator
LocationProxy	LocationProxy,ZNetView
LongPressRadial	LongPressIndicator
LootSpawner_pineforest	LootSpawner,ZNetView
Lox	AnimationEffect,Aoe,CharacterAnimEvent,CharacterDrop,FootStep,Humanoid,MonsterAI,MovementDamage,Procreation,Sadle,Tameable,ZNetView,ZSyncAnimation,ZSyncTransform
LoxMeat	ItemDrop,ZNetView,ZSyncTransform
LoxPelt	ItemDrop,ZNetView,ZSyncTransform
LoxPie	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
LoxPieUncooked	ItemDrop,ZNetView,ZSyncTransform
Lox_Calf	AnimalAI,AnimationEffect,CharacterAnimEvent,CharacterDrop,Growup,Humanoid,ZNetView,ZSyncAnimation,ZSyncTransform
LumberCamp	Beacon,Container,Destructible,Door,DropOnDestroyed,Location,LodFadeInOut,Piece,RandomSpawn,StaticPhysics,TerrainModifier,WearNTear,ZNetView
LuredFaderEmber	LightLod,LuredWisp,Pickable,ZNetView,ZSyncTransform
LuredWisp	LightLod,LuredWisp,Pickable,ZNetView,ZSyncTransform
MaceBronze	Floating,ItemDrop,LightLod,MeleeWeaponTrail,ParticleIntensityScaler,ZNetView,ZSyncTransform
MaceEldner	Floating,ItemDrop,LightLod,MeleeWeaponTrail,ParticleIntensityScaler,ZNetView,ZSyncTransform
MaceEldnerBlood	Floating,ItemDrop,LightLod,MeleeWeaponTrail,ParticleIntensityScaler,ZNetView,ZSyncTransform
MaceEldnerLightning	Floating,ItemDrop,LightFlicker,LightLod,MeleeWeaponTrail,ParticleIntensityScaler,ZNetView,ZSyncTransform
MaceEldnerNature	Floating,ItemDrop,LightFlicker,LightLod,MeleeWeaponTrail,ParticleIntensityScaler,ZNetView,ZSyncTransform
MaceGold	Floating,ItemDrop,LightLod,MeleeWeaponTrail,ParticleIntensityScaler,ZNetView,ZSyncTransform
MaceGoldUncooked	Floating,ItemDrop,ZNetView,ZSyncTransform
MaceGold_BloodLightning	Floating,ItemDrop,LightFlicker,LightLod,MeleeWeaponTrail,ParticleIntensityScaler,ZNetView,ZSyncTransform
MaceGold_FrostFire	Floating,ItemDrop,LightFlicker,LightLod,MeleeWeaponTrail,ParticleIntensityScaler,ZNetView,ZSyncTransform
MaceIron	Floating,ItemDrop,LightLod,MeleeWeaponTrail,ParticleIntensityScaler,ZNetView,ZSyncTransform
MaceNeedle	Floating,ItemDrop,LightLod,MeleeWeaponTrail,ParticleIntensityScaler,ZNetView,ZSyncTransform
MaceSilver	ItemDrop,LightLod,MeleeWeaponTrail,ParticleIntensityScaler,ZNetView,ZSyncTransform
MaceWood	Floating,ItemDrop,LightLod,MeleeWeaponTrail,ParticleIntensityScaler,ZNetView,ZSyncTransform
MagicallyStuffedShroom	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MagicallyStuffedShroomUncooked	ItemDrop,ZNetView,ZSyncTransform
Mandible	ItemDrop,ZNetView,ZSyncTransform
MapPin	
MapPinName	
MarinatedGreens	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MashedMeat	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MeadBaseBugRepellent	ItemDrop,ZNetView,ZSyncTransform
MeadBaseBzerker	ItemDrop,ZNetView,ZSyncTransform
MeadBaseEitrLingering	ItemDrop,ZNetView,ZSyncTransform
MeadBaseEitrMinor	ItemDrop,ZNetView,ZSyncTransform
MeadBaseFrostResist	ItemDrop,ZNetView,ZSyncTransform
MeadBaseHasty	ItemDrop,ZNetView,ZSyncTransform
MeadBaseHealthLingering	ItemDrop,ZNetView,ZSyncTransform
MeadBaseHealthMajor	ItemDrop,ZNetView,ZSyncTransform
MeadBaseHealthMedium	ItemDrop,ZNetView,ZSyncTransform
MeadBaseHealthMinor	ItemDrop,ZNetView,ZSyncTransform
MeadBaseLightFoot	ItemDrop,ZNetView,ZSyncTransform
MeadBasePoisonResist	ItemDrop,ZNetView,ZSyncTransform
MeadBaseStaminaLingering	ItemDrop,ZNetView,ZSyncTransform
MeadBaseStaminaMedium	ItemDrop,ZNetView,ZSyncTransform
MeadBaseStaminaMinor	ItemDrop,ZNetView,ZSyncTransform
MeadBaseStrength	ItemDrop,ZNetView,ZSyncTransform
MeadBaseSwimmer	ItemDrop,ZNetView,ZSyncTransform
MeadBaseTamer	ItemDrop,ZNetView,ZSyncTransform
MeadBaseTasty	ItemDrop,ZNetView,ZSyncTransform
MeadBugRepellent	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MeadBzerker	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MeadEitrLingering	ItemDrop,LightLod,Piece,WearNTear,ZNetView,ZSyncTransform
MeadEitrMinor	ItemDrop,LightLod,Piece,WearNTear,ZNetView,ZSyncTransform
MeadFrostResist	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MeadHasty	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MeadHealthLingering	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MeadHealthMajor	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MeadHealthMedium	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MeadHealthMinor	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MeadLightfoot	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MeadPoisonResist	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MeadStaminaLingering	ItemDrop,LightLod,Piece,WearNTear,ZNetView,ZSyncTransform
MeadStaminaMedium	ItemDrop,LightLod,Piece,WearNTear,ZNetView,ZSyncTransform
MeadStaminaMinor	ItemDrop,LightLod,Piece,WearNTear,ZNetView,ZSyncTransform
MeadStrength	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MeadSwimmer	Floating,ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MeadTamer	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MeadTasty	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MeadTrollPheromones	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MeatPlatter	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MeatPlatterUncooked	ItemDrop,ZNetView,ZSyncTransform
MeatballsMashedPoteitr	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MechanicalSpring	ItemDrop,ZNetView,ZSyncTransform
MemorialCoal	ItemDrop,LightFlicker,LightLod,ZNetView,ZSyncTransform
MemorialStone_Large	Destructible,DropOnDestroyed,HoverText,StaticPhysics,ZNetView
MemorialStone_Medium	Destructible,DropOnDestroyed,HoverText,StaticPhysics,ZNetView
MemorialStone_Small	Destructible,DropOnDestroyed,HoverText,StaticPhysics,ZNetView
MenuEntryButton	
MenuFire	LightFlicker,ZSFX
MenuRock	
MenuZone	Heightmap,WaterVolume
Menu_Greydwarf_Elite	
Menu_PineTree	
Menu_Seal	
Menu_Seeker	
Menu_SmallStone	
Menu_Twitcher	
Menu_fir	
Menu_greydwarf	
Menu_greydwarf_george	
MinceMeatSauce	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MineRock_Copper	MineRock,StaticPhysics,ZNetView
MineRock_Iron	MineRock,StaticPhysics,ZNetView
MineRock_Meteorite	MineRock,StaticPhysics,ZNetView
MineRock_Obsidian	Destructible,DropOnDestroyed,HoverText,StaticPhysics,ZNetView
MineRock_Stone	MineRock,StaticPhysics,ZNetView
MineRock_Tin	Destructible,DropOnDestroyed,HoverText,LodFadeInOut,StaticPhysics,ZNetView
MistArea	Mister,ZNetView
MistArea_edge	Mister,ZNetView
MistArea_small	Mister,ZNetView
MisthareSupreme	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MisthareSupremeUncooked	ItemDrop,ZNetView,ZSyncTransform
Mistile	CharacterAnimEvent,CharacterTimedDestruction,Demister,Humanoid,LightFlicker,MonsterAI,ZNetView,ZSFX,ZSyncAnimation,ZSyncTransform
Mistile_kamikaze	ItemDrop,ZNetView,ZSyncTransform
MistlandsFlash	LightFlicker,TimedDestruction
Mistlands_DvergrBossEntrance1	AnimationEffect,Chair,CreatureSpawner,Demister,Destructible,Door,DropOnDestroyed,DungeonGenerator,EffectArea,LightFlicker,LightLod,Location,LodFadeInOut,MaterialVariationWorld,Pickable,Piece,RandomPieceRotation,RandomSpawn,RuneStone,StaticPhysics,Teleport,TerrainModifier,WearNTear,ZNetView,ZSFX
Mistlands_DvergrTownEntrance1	Aoe,CreatureSpawner,Demister,Destructible,DropOnDestroyed,DungeonGenerator,EffectArea,GuidePoint,LightFlicker,LightLod,Location,Piece,RandomPieceRotation,RandomSpawn,SnapToGround,StaticPhysics,Teleport,TerrainModifier,WearNTear,ZNetView,ZSFX
Mistlands_DvergrTownEntrance2	CreatureSpawner,Demister,Destructible,DropOnDestroyed,DungeonGenerator,GuidePoint,LightFlicker,LightLod,Location,LodFadeInOut,MaterialVariationWorld,Piece,RandomPieceRotation,RandomSpawn,Teleport,TerrainModifier,WearNTear,ZNetView,ZSFX
Mistlands_Excavation1	Aoe,CircleProjector,CreatureSpawner,Demister,Destructible,DropOnDestroyed,EffectArea,GuidePoint,HoverText,LightFlicker,LightLod,Location,LodFadeInOut,MusicLocation,Pickable,Piece,PrivateArea,RandomPieceRotation,RandomSpawn,SnapToGround,StaticPhysics,TerrainModifier,WearNTear,ZNetView,ZSFX
Mistlands_Excavation2	Aoe,CircleProjector,CreatureSpawner,Demister,Destructible,DropOnDestroyed,EffectArea,GuidePoint,HoverText,LightFlicker,LightLod,Location,LodFadeInOut,MusicLocation,Pickable,Piece,PrivateArea,RandomPieceRotation,RandomSpawn,SnapToGround,StaticPhysics,TerrainModifier,WearNTear,ZNetView,ZSFX
Mistlands_Excavation3	CreatureSpawner,Destructible,DropOnDestroyed,EffectArea,HoverText,Location,MusicLocation,Piece,RandomPieceRotation,RandomSpawn,StaticPhysics,TerrainModifier,WearNTear,ZNetView
Mistlands_Giant1	CreatureSpawner,Destructible,GuidePoint,HoverText,Location,LodFadeInOut,Mister,RandomPieceRotation,RandomSpawn,TerrainModifier,WearNTear,ZNetView
Mistlands_Giant2	Destructible,GuidePoint,HoverText,Location,LodFadeInOut,Mister,RandomPieceRotation,TerrainModifier,ZNetView
Mistlands_GuardTower1_new	Aoe,CircleProjector,CreatureSpawner,Demister,Destructible,Door,DropOnDestroyed,EffectArea,GuidePoint,HoverText,LightFlicker,LightLod,Location,MusicLocation,Pickable,Piece,PrivateArea,RandomPieceRotation,RandomSpawn,SnapToGround,StaticPhysics,TerrainModifier,WearNTear,ZNetView,ZSFX
Mistlands_GuardTower1_ruined_new	Aoe,Container,CreatureSpawner,Destructible,Door,DropOnDestroyed,Location,MusicLocation,Piece,RandomPieceRotation,RandomSpawn,SnapToGround,StaticPhysics,TerrainModifier,WearNTear,ZNetView
Mistlands_GuardTower1_ruined_new2	Container,CreatureSpawner,Destructible,Door,DropOnDestroyed,GlobalWind,HoverText,Location,LodFadeInOut,MusicLocation,Piece,RandomPieceRotation,RandomSpawn,StaticPhysics,TerrainModifier,TreeBase,WearNTear,ZNetView
Mistlands_GuardTower2_new	Aoe,CircleProjector,CreatureSpawner,Demister,Destructible,Door,DropOnDestroyed,EffectArea,GuidePoint,HoverText,LightFlicker,LightLod,Location,MusicLocation,Pickable,Piece,PrivateArea,RandomPieceRotation,RandomSpawn,SnapToGround,StaticPhysics,TerrainModifier,WearNTear,ZNetView,ZSFX
Mistlands_GuardTower3_new	Aoe,CircleProjector,CreatureSpawner,Demister,Destructible,Door,DropOnDestroyed,EffectArea,GuidePoint,HoverText,LightFlicker,LightLod,Location,MusicLocation,Piece,PrivateArea,RandomPieceRotation,RandomSpawn,SnapToGround,StaticPhysics,TerrainModifier,WearNTear,ZNetView,ZSFX
Mistlands_GuardTower3_ruined_new	Aoe,Container,CreatureSpawner,Destructible,Door,DropOnDestroyed,HoverText,Location,LodFadeInOut,MusicLocation,Piece,RandomPieceRotation,RandomSpawn,SnapToGround,StaticPhysics,TerrainModifier,WearNTear,ZNetView
Mistlands_Harbour1	CircleProjector,CreatureSpawner,Demister,Door,DropOnDestroyed,EffectArea,GuidePoint,HoverText,LightFlicker,LightLod,Location,Piece,PrivateArea,RandomPieceRotation,RandomSpawn,StaticPhysics,TerrainModifier,WearNTear,ZNetView,ZSFX
Mistlands_Lighthouse1_new	Aoe,CircleProjector,CreatureSpawner,Demister,Destructible,Door,DropOnDestroyed,EffectArea,GuidePoint,HoverText,LightFlicker,LightLod,Location,MusicLocation,Pickable,Piece,PrivateArea,RandomPieceRotation,RandomSpawn,SnapToGround,StaticPhysics,TerrainModifier,TimedDestruction,WearNTear,ZNetView,ZSFX
Mistlands_RoadPost1	CreatureSpawner,Demister,Destructible,DropOnDestroyed,LightFlicker,LightLod,Location,RandomSpawn,StaticPhysics,TerrainModifier,WearNTear,ZNetView,ZSFX
Mistlands_RockSpire1	Container,CreatureSpawner,Demister,Destructible,DropOnDestroyed,LightFlicker,LightLod,Location,LodFadeInOut,Piece,RandomPieceRotation,RandomSpawn,StaticPhysics,WearNTear,ZNetView,ZSFX
Mistlands_Statue1	Location,Piece,RandomPieceRotation,RandomSpawn,TerrainModifier,WearNTear,ZNetView
Mistlands_Statue2	Location,Piece,RandomPieceRotation,RandomSpawn,TerrainModifier,WearNTear,ZNetView
Mistlands_StatueGroup1	Location,Piece,RandomPieceRotation,RandomSpawn,TerrainModifier,WearNTear,ZNetView
Mistlands_Swords1	Destructible,HoverText,Location,LodFadeInOut,Mister,RandomSpawn,TerrainModifier,ZNetView
Mistlands_Swords2	Destructible,HoverText,Location,LodFadeInOut,Mister,RandomSpawn,TerrainModifier,ZNetView
Mistlands_Swords3	Destructible,HoverText,Location,LodFadeInOut,Mister,RandomSpawn,ZNetView
Mistlands_Viaduct1	Destructible,Location,LodFadeInOut,Mister,Piece,RandomPieceRotation,RandomSpawn,WearNTear,ZNetView
Mistlands_Viaduct2	Destructible,Location,LodFadeInOut,Mister,Piece,RandomPieceRotation,RandomSpawn,WearNTear,ZNetView
MoldArmorGoldChest	ItemDrop,ZNetView,ZSyncTransform
MoldArmorGoldHelmet	ItemDrop,ZNetView,ZSyncTransform
MoldArmorGoldLegs	ItemDrop,ZNetView,ZSyncTransform
MoldArmorMageChest	ItemDrop,ZNetView,ZSyncTransform
MoldArmorMageHelmet	ItemDrop,ZNetView,ZSyncTransform
MoldArmorMageLegs	ItemDrop,ZNetView,ZSyncTransform
MoldArmorMediumHelmet	ItemDrop,ZNetView,ZSyncTransform
MoldArmorMediumLegs	ItemDrop,ZNetView,ZSyncTransform
MoldArmormediumChest	ItemDrop,ZNetView,ZSyncTransform
MoldAtgeir	ItemDrop,ZNetView,ZSyncTransform
MoldAxe	ItemDrop,ZNetView,ZSyncTransform
MoldAxe2H	ItemDrop,ZNetView,ZSyncTransform
MoldBow	ItemDrop,ZNetView,ZSyncTransform
MoldCrossbow	ItemDrop,ZNetView,ZSyncTransform
MoldFistweapon	ItemDrop,ZNetView,ZSyncTransform
MoldKeys	ItemDrop,ZNetView,ZSyncTransform
MoldKnife	ItemDrop,ZNetView,ZSyncTransform
MoldMace	ItemDrop,ZNetView,ZSyncTransform
MoldMace2H	ItemDrop,ZNetView,ZSyncTransform
MoldShieldBuckler	ItemDrop,ZNetView,ZSyncTransform
MoldShieldRound	ItemDrop,ZNetView,ZSyncTransform
MoldShieldTower	ItemDrop,ZNetView,ZSyncTransform
MoldSmallParts	ItemDrop,ZNetView,ZSyncTransform
MoldSpear	ItemDrop,ZNetView,ZSyncTransform
MoldStaffOrbofAhri	ItemDrop,ZNetView,ZSyncTransform
MoldStafffrostorbs	ItemDrop,ZNetView,ZSyncTransform
MoldStaffspiritcaller	ItemDrop,ZNetView,ZSyncTransform
MoldStaffthunderblood	ItemDrop,ZNetView,ZSyncTransform
MoldSword	ItemDrop,ZNetView,ZSyncTransform
MoldSword2H	ItemDrop,ZNetView,ZSyncTransform
MoleClaws	ItemDrop,ZNetView,ZSyncTransform
MoltenCore	ItemDrop,ZNetView,ZSyncTransform
Moose	AnimationEffect,Aoe,CharacterAnimEvent,CharacterDrop,FootStep,Humanoid,LevelEffects,MonsterAI,MovementDamage,Procreation,Sadle,Tameable,ZNetView,ZSyncAnimation,ZSyncTransform
MooseHide	ItemDrop,ZNetView,ZSyncTransform
MooseKebab	ItemDrop,Piece,WearNTear,ZNetView,ZSyncTransform
MooseMeat	ItemDrop,ZNetView,ZSyncTransform
MooseSinew	ItemDrop,ZNetView,ZSyncTransform
Moose_Calf_Ragdoll	Ragdoll,ZNetView
Moose_Ragdoll	Ragdoll,ZNetView
Moose_calf	AnimalAI,AnimationEffect,CharacterAnimEvent,FootStep,Growup,Humanoid,LevelEffects,ZNetView,ZSyncAnimation,ZSyncTransform
Moose_spiritcaller	AnimationEffect,Aoe,CharacterAnimEvent,FootStep,Humanoid,LevelEffects,MonsterAI,MovementDamage,Sadle,Tameable,ZNetView,ZSyncAnimation,ZSyncTransform
Morgen	AnimationEffect,AnimationObjectToggle,CharacterAnimEvent,CharacterDrop,FootStep,Humanoid,MonsterAI,ZNetView,ZSyncAnimation,ZSyncTransform
MorgenHeart	ItemDrop,ZNetView,ZSyncTransform
MorgenHole1	Container,CreatureSpawner,Destructible,DropOnDestroyed,GuidePoint,HoverText,LightFlicker,Location,LodFadeInOut,MaterialVariationWorld,Pickable,Piece,RandomSpawn,StaticPhysics,Teleport,TerrainModifier,Vegvisir,WearNTear,ZNetView
MorgenHole2	Container,CreatureSpawner,Destructible,DropOnDestroyed,HoverText,LightFlicker,Location,LodFadeInOut,MaterialVariationWorld,Pickable,Piece,RandomSpawn,StaticPhysics,Teleport,TerrainModifier,Vegvisir,WearNTear,ZNetView
MorgenHole3	Container,CreatureSpawner,Destructible,DropOnDestroyed,HoverText,LightFlicker,Location,LodFadeInOut,MaterialVariationWorld,Pickable,Piece,RandomSpawn,StaticPhysics,Teleport,TerrainModifier,Vegvisir,WearNTear,ZNetView
MorgenSinew	ItemDrop,ZNetView,ZSyncTransform
Morgen_NonSleeping	AnimationEffect,AnimationObjectToggle,CharacterAnimEvent,CharacterDrop,FootStep,Humanoid,MonsterAI,ZNetView,ZSyncAnimation,ZSyncTransform
Morgen_bite	ItemDrop
Morgen_bodyslam	ItemDrop
Morgen_roll_left	ItemDrop
Morgen_roll_right	ItemDrop
Morgen_swipe_1	ItemDrop
Morgen_swipe_2	ItemDrop
Morgen_swipe_3	ItemDrop
Morgen_swipe_4	ItemDrop
Morgen_swipe_5	ItemDrop
Morgen_swipe_6	ItemDrop
MorkBorg	Aoe,Container,Destructible,Door,DropOnDestroyed,DungeonGenerator,EffectArea,GuidePoint,HoverText,LightFlicker,LightLod,Location,ObjectFlicker,Pickable,Piece,RandomObject,RandomPieceRotation,RandomSpawn,SpawnArea,StaticPhysics,Teleport,TerrainModifier,TimedDestruction,WearNTear,ZNetView,ZSFX
Morkborg_gate	Door,ZNetView
Morkhalla_Banner1	DropOnDestroyed,RandomPieceRotation,WearNTear,ZNetView
Morkhalla_Banner2	DropOnDestroyed,RandomPieceRotation,WearNTear,ZNetView
Morkhalla_Bedroll1	Destructible,DropOnDestroyed,ZNetView
Morkhalla_Bedroll2	Destructible,DropOnDestroyed,ZNetView
Morkhalla_Bench	DropOnDestroyed,WearNTear,ZNetView
Morkhalla_Block	ZNetView
Morkhalla_BoundingWall_20_broken	RandomSpawn
Morkhalla_Chain	ObjectFlicker,RandomSpawn,ZNetView
Morkhalla_ChainLink	ObjectFlicker
Morkhalla_ChestAncient	Container,Piece,WearNTear,ZNetView
Morkhalla_Drawbridge	Aoe,Door,LineAttach,ZNetView
Morkhalla_Eye1	LightFlicker,LightLod,Pickable,ZNetView
Morkhalla_Eye2	LightFlicker,LightLod,Pickable,ZNetView
Morkhalla_Eye3	LightFlicker,LightLod,Pickable,ZNetView
Morkhalla_Eye4	LightFlicker,LightLod,Pickable,ZNetView
Morkhalla_Eye5_gemstone	LightFlicker,LightLod,Pickable,ZNetView
Morkhalla_Eye6_gemstone	LightFlicker,LightLod,Pickable,ZNetView
Morkhalla_Eye7_gemstone	LightFlicker,LightLod,Pickable,ZNetView
Morkhalla_Floor_20	Destructible,RandomSpawn,ZNetView
Morkhalla_Floor_20_2	
Morkhalla_Floor_20_broken	Aoe,Destructible,DropOnDestroyed,HoverText,LightLod,ObjectFlicker,RandomSpawn,SpawnArea,StaticPhysics,ZNetView
Morkhalla_Floor_20_broken2	Aoe,CreatureSpawner,Destructible,DropOnDestroyed,HoverText,LightLod,ObjectFlicker,RandomObject,RandomSpawn,SpawnArea,StaticPhysics,ZNetView
Morkhalla_Floor_20_broken3	Aoe,CreatureSpawner,Destructible,DropOnDestroyed,HoverText,LightLod,ObjectFlicker,RandomObject,RandomSpawn,SpawnArea,StaticPhysics,ZNetView
Morkhalla_Floor_20_wHole	Destructible,RandomSpawn,ZNetView
Morkhalla_Floor_2x2	ZNetView
Morkhalla_Floor_4x4	ZNetView
Morkhalla_Floor_4x4_broken01	ZNetView
Morkhalla_Floor_4x4_broken02	ZNetView
Morkhalla_Floor_4x4_hole01	ZNetView
Morkhalla_Floor_4x4_hole02	Destructible,ZNetView
Morkhalla_Floor_4x4_hole03	Aoe,Destructible,DropOnDestroyed,HoverText,LightLod,ObjectFlicker,SpawnArea,StaticPhysics,ZNetView
Morkhalla_Floor_4x4_hole04	Destructible,DropOnDestroyed,ZNetView
Morkhalla_Floor_4x4_hole05	Destructible,DropOnDestroyed,ZNetView
Morkhalla_Floor_4x4_hole06	Destructible,DropOnDestroyed,ZNetView
Morkhalla_Floor_4x4_hole07	Destructible,DropOnDestroyed,ZNetView
Morkhalla_Floor_4x4_hole08	CreatureSpawner,ZNetView
Morkhalla_Floor_4x4_hole09	Destructible,DropOnDestroyed,ZNetView
Morkhalla_Floor_RandomHole	Aoe,CreatureSpawner,Destructible,DropOnDestroyed,HoverText,LightLod,ObjectFlicker,RandomObject,SpawnArea,StaticPhysics,ZNetView
Morkhalla_GateDoor	Destructible,ZNetView
Morkhalla_GateDoor02	Destructible,ZNetView
Morkhalla_GateDoor03	Destructible,ZNetView
Morkhalla_MetalBar	RandomSpawn,ZNetView
Morkhalla_MetalPillar	
Morkhalla_RandomDoor	Destructible,RandomObject,ZNetView
Morkhalla_RandomEye	LightFlicker,LightLod,Pickable,RandomObject,ZNetView
Morkhalla_RandomLoot	Container,Destructible,DropOnDestroyed,Piece,RandomObject,WearNTear,ZNetView
Morkhalla_RandomRailDeco	EffectArea,LightFlicker,LightLod,RandomObject,RandomSpawn,TimedDestruction,ZNetView,ZSFX
Morkhalla_RandomRubble	Destructible,DropOnDestroyed,RandomObject,ZNetView
Morkhalla_RandomSpawner	Container,CreatureSpawner,Destructible,DropOnDestroyed,LightFlicker,PickableItem,Piece,RandomObject,RandomSpawn,WearNTear,ZNetView
Morkhalla_RandomWallDeco	DropOnDestroyed,EffectArea,LightFlicker,LightLod,ObjectFlicker,Pickable,RandomObject,RandomPieceRotation,RandomSpawn,TimedDestruction,WearNTear,ZNetView,ZSFX
Morkhalla_Rubble1	Destructible,DropOnDestroyed,ZNetView
Morkhalla_Rubble1_fall	Destructible,StaticPhysics,ZNetView
Morkhalla_Rubble2	Destructible,DropOnDestroyed,ZNetView
Morkhalla_Rubble2_fall	Destructible,StaticPhysics,ZNetView
Morkhalla_Rubble3	Destructible,DropOnDestroyed,ZNetView
Morkhalla_Rubble4	Destructible,DropOnDestroyed,ZNetView
Morkhalla_Rubble_Destroyed	Gibber,ZNetView
Morkhalla_Rubble_mix	Destructible,DropOnDestroyed,ZNetView
Morkhalla_Rug_corner	Destructible,DropOnDestroyed,ZNetView
Morkhalla_Rug_end1	Destructible,DropOnDestroyed,ZNetView
Morkhalla_Rug_end2	Destructible,DropOnDestroyed,ZNetView
Morkhalla_Rug_middle	Destructible,DropOnDestroyed,ZNetView
Morkhalla_Rug_stair	Destructible,DropOnDestroyed,ZNetView
